epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,44328.6,1.0812,0.71197,1.19671,0.70841,0.84955,0.79247,0.53911,1.21002,0.74346,1.30419,0.003664,0.003664,0.003664
66,44888.8,1.0814,0.70637,1.20246,0.70874,0.85076,0.79286,0.54006,1.20957,0.74206,1.30394,0.003565,0.003565,0.003565
67,45449.1,1.07612,0.70871,1.19876,0.70895,0.8532,0.79245,0.5398,1.20872,0.73996,1.30355,0.003466,0.003466,0.003466
68,46009.4,1.06535,0.69856,1.19062,0.70903,0.85235,0.79347,0.54099,1.20805,0.73733,1.30312,0.003367,0.003367,0.003367
69,46569.9,1.06264,0.69436,1.1876,0.70635,0.85574,0.79371,0.54134,1.20727,0.73488,1.30241,0.003268,0.003268,0.003268
70,47130.9,1.05597,0.6893,1.18803,0.70664,0.85632,0.79364,0.54135,1.20638,0.7326,1.30191,0.003169,0.003169,0.003169
71,47691.2,1.05106,0.68052,1.1827,0.70746,0.85759,0.79383,0.54166,1.20574,0.7319,1.30151,0.00307,0.00307,0.00307
72,48252,1.04731,0.68143,1.17853,0.70877,0.85603,0.79393,0.54202,1.20486,0.72973,1.30092,0.002971,0.002971,0.002971
73,48812.6,1.03445,0.67069,1.17574,0.70924,0.85645,0.79406,0.54221,1.20495,0.72575,1.3011,0.002872,0.002872,0.002872
74,49373.3,1.02955,0.66884,1.17619,0.711,0.855,0.79384,0.54249,1.20491,0.72236,1.30132,0.002773,0.002773,0.002773
75,49934.1,1.02567,0.66759,1.17044,0.71277,0.85505,0.79407,0.54264,1.20434,0.71876,1.30117,0.002674,0.002674,0.002674
76,50494.8,1.01334,0.6586,1.15822,0.71507,0.85279,0.79427,0.54322,1.20369,0.71592,1.30046,0.002575,0.002575,0.002575
77,51055.6,1.01241,0.6576,1.15943,0.71704,0.8504,0.79372,0.5432,1.20288,0.71359,1.29995,0.002476,0.002476,0.002476
78,51616.1,1.00911,0.64622,1.15072,0.71744,0.85019,0.79433,0.54383,1.20275,0.71037,1.29969,0.002377,0.002377,0.002377
79,52176.8,0.99974,0.64718,1.15138,0.71865,0.85139,0.79419,0.5433,1.20277,0.70783,1.29975,0.002278,0.002278,0.002278
80,52738,0.99207,0.64458,1.14772,0.71883,0.85173,0.7939,0.5436,1.20304,0.70548,1.29999,0.002179,0.002179,0.002179
81,53298.4,0.98802,0.63805,1.1422,0.71759,0.85372,0.79352,0.54355,1.2031,0.70285,1.30001,0.00208,0.00208,0.00208
82,53858.7,0.97954,0.62432,1.13829,0.71881,0.85326,0.79328,0.54362,1.20292,0.70007,1.30017,0.001981,0.001981,0.001981
83,54419.2,0.96915,0.62444,1.1311,0.71868,0.85371,0.79301,0.54334,1.20252,0.69816,1.29988,0.001882,0.001882,0.001882
84,54979.6,0.96523,0.62569,1.13189,0.71948,0.85343,0.79279,0.54378,1.20206,0.69638,1.29966,0.001783,0.001783,0.001783
85,55540.2,0.9594,0.61657,1.12623,0.71944,0.85299,0.79316,0.54431,1.20219,0.69402,1.29998,0.001684,0.001684,0.001684
86,56101.2,0.953,0.60939,1.12346,0.72022,0.85442,0.79327,0.54485,1.20187,0.69212,1.29995,0.001585,0.001585,0.001585
87,56662.1,0.93916,0.60515,1.11455,0.72025,0.85389,0.79311,0.54498,1.20196,0.69036,1.30038,0.001486,0.001486,0.001486
88,57222.7,0.93531,0.60285,1.10964,0.72077,0.85296,0.7924,0.54479,1.20207,0.68862,1.30049,0.001387,0.001387,0.001387
89,57783.3,0.92724,0.59801,1.10451,0.72084,0.85322,0.79265,0.54518,1.20227,0.6872,1.30075,0.001288,0.001288,0.001288
90,58343.8,0.92093,0.59242,1.10297,0.72012,0.85415,0.79244,0.54532,1.20258,0.6863,1.30112,0.001189,0.001189,0.001189
91,58904.9,0.90077,0.50821,1.10248,0.72078,0.85287,0.79203,0.5452,1.20268,0.68571,1.30155,0.00109,0.00109,0.00109
92,59464.2,0.88101,0.50126,1.09697,0.72158,0.85244,0.79143,0.54493,1.20296,0.68488,1.30211,0.000991,0.000991,0.000991
93,60023.7,0.8692,0.49423,1.0881,0.72171,0.85289,0.79128,0.54476,1.20263,0.68453,1.30238,0.000892,0.000892,0.000892
94,60583.2,0.85747,0.48856,1.08018,0.72235,0.8521,0.79123,0.5455,1.20246,0.68378,1.30306,0.000793,0.000793,0.000793
95,61142.6,0.84925,0.48258,1.07823,0.72,0.85411,0.79103,0.54536,1.20269,0.68392,1.30408,0.000694,0.000694,0.000694
96,68393.7,0.84162,0.47878,1.07162,0.71955,0.85492,0.7908,0.54534,1.20268,0.68437,1.30502,0.000595,0.000595,0.000595
97,68953.7,0.83019,0.47215,1.06585,0.71921,0.85585,0.7904,0.54539,1.20266,0.6846,1.30609,0.000496,0.000496,0.000496
98,69513.2,0.82157,0.46698,1.06128,0.71998,0.85492,0.78978,0.54497,1.2026,0.68526,1.30721,0.000397,0.000397,0.000397
99,70072.6,0.81316,0.464,1.0555,0.71924,0.85627,0.78933,0.54503,1.20279,0.68652,1.30838,0.000298,0.000298,0.000298
100,70632.3,0.8064,0.45982,1.05094,0.71859,0.85594,0.78896,0.5449,1.20297,0.68787,1.30973,0.000199,0.000199,0.000199
