epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,34900,1.16545,0.77167,1.25594,0.71076,0.8502,0.79551,0.53716,1.2199,0.74409,1.31707,0.003961,0.003961,0.003961
63,35460.2,1.16241,0.77345,1.2479,0.71128,0.8494,0.79564,0.5375,1.21914,0.74069,1.31597,0.003862,0.003862,0.003862
64,36020,1.15604,0.76659,1.25047,0.71344,0.84799,0.79549,0.53791,1.21844,0.73917,1.3154,0.003763,0.003763,0.003763
65,36579.6,1.14473,0.76368,1.24943,0.71358,0.84842,0.79566,0.53836,1.21736,0.737,1.31471,0.003664,0.003664,0.003664
66,37139.3,1.14578,0.75457,1.24269,0.71472,0.84734,0.796,0.53911,1.21667,0.73457,1.31412,0.003565,0.003565,0.003565
67,37698.9,1.1421,0.75985,1.23909,0.71661,0.84758,0.79668,0.53975,1.21603,0.73078,1.31349,0.003466,0.003466,0.003466
68,38258.6,1.13468,0.75036,1.23401,0.71671,0.84757,0.79618,0.53989,1.21527,0.72806,1.31305,0.003367,0.003367,0.003367
69,38818.4,1.13122,0.74251,1.23476,0.71639,0.84837,0.79616,0.54022,1.21483,0.72578,1.31267,0.003268,0.003268,0.003268
70,39378.1,1.12687,0.74173,1.23482,0.71789,0.84786,0.79612,0.54068,1.21405,0.72404,1.31224,0.003169,0.003169,0.003169
71,39937.6,1.12238,0.73014,1.22897,0.71833,0.8475,0.79638,0.54161,1.21361,0.72273,1.31198,0.00307,0.00307,0.00307
72,40497.2,1.12038,0.73413,1.22222,0.71682,0.84963,0.79683,0.54226,1.21282,0.72106,1.31121,0.002971,0.002971,0.002971
73,41056.7,1.10685,0.72379,1.22496,0.71804,0.84653,0.79711,0.54275,1.21194,0.71993,1.31073,0.002872,0.002872,0.002872
74,41616.2,1.10393,0.72106,1.22581,0.71943,0.84767,0.79744,0.54295,1.21104,0.71878,1.31032,0.002773,0.002773,0.002773
75,42175.8,1.09889,0.71858,1.21574,0.72018,0.84818,0.79785,0.5436,1.21042,0.71693,1.30971,0.002674,0.002674,0.002674
76,42735,1.08908,0.70815,1.21029,0.71994,0.84868,0.79783,0.54374,1.20993,0.71572,1.30915,0.002575,0.002575,0.002575
77,43294.6,1.08934,0.71088,1.2075,0.72005,0.84894,0.79798,0.54403,1.20925,0.71382,1.30857,0.002476,0.002476,0.002476
78,43854.3,1.08766,0.70009,1.20547,0.72225,0.84739,0.79835,0.54476,1.20846,0.71211,1.30791,0.002377,0.002377,0.002377
79,44413.4,1.07884,0.69871,1.20004,0.72259,0.84652,0.79839,0.54491,1.20777,0.71076,1.30737,0.002278,0.002278,0.002278
80,44973.4,1.07206,0.6986,1.19799,0.72317,0.84639,0.79855,0.54579,1.20692,0.7105,1.30683,0.002179,0.002179,0.002179
81,45532.8,1.0718,0.68756,1.1927,0.72324,0.84644,0.79778,0.54532,1.20654,0.70948,1.30627,0.00208,0.00208,0.00208
82,46092.1,1.06233,0.68048,1.18989,0.72149,0.84947,0.79791,0.54585,1.20567,0.70694,1.30522,0.001981,0.001981,0.001981
83,46651.6,1.05199,0.67952,1.18647,0.72084,0.84947,0.79746,0.5462,1.20526,0.70524,1.30479,0.001882,0.001882,0.001882
84,47211,1.04762,0.67605,1.18427,0.72049,0.84998,0.79737,0.54675,1.20514,0.7036,1.30453,0.001783,0.001783,0.001783
85,47770.1,1.0448,0.66815,1.18087,0.72055,0.85079,0.79739,0.54725,1.20472,0.70255,1.30422,0.001684,0.001684,0.001684
86,48329.5,1.03789,0.66336,1.17543,0.72053,0.85115,0.79706,0.54725,1.20426,0.70195,1.30358,0.001585,0.001585,0.001585
87,48888.8,1.02783,0.65944,1.1722,0.72119,0.85103,0.79691,0.54707,1.20393,0.70191,1.30346,0.001486,0.001486,0.001486
88,49448,1.0238,0.65588,1.16908,0.72053,0.85207,0.79681,0.54744,1.2037,0.70204,1.30342,0.001387,0.001387,0.001387
89,50007.3,1.01689,0.65051,1.16759,0.72132,0.85279,0.79679,0.54812,1.203,0.70257,1.30292,0.001288,0.001288,0.001288
90,50566,1.01471,0.64518,1.16397,0.72268,0.85282,0.79643,0.54802,1.20257,0.70358,1.30261,0.001189,0.001189,0.001189
91,51125.3,0.99923,0.55835,1.17539,0.72216,0.8551,0.79631,0.54835,1.20213,0.70429,1.30258,0.00109,0.00109,0.00109
92,51683.6,0.98312,0.55089,1.16853,0.72313,0.85453,0.79594,0.54808,1.20203,0.70402,1.3029,0.000991,0.000991,0.000991
93,52242,0.97111,0.54441,1.15875,0.7217,0.85637,0.79606,0.5482,1.2016,0.70418,1.30271,0.000892,0.000892,0.000892
94,52800.2,0.96242,0.53786,1.15165,0.7213,0.85599,0.79606,0.54873,1.20119,0.7041,1.30289,0.000793,0.000793,0.000793
95,53358.6,0.9537,0.53162,1.14259,0.72038,0.85657,0.7959,0.54882,1.20101,0.70391,1.30311,0.000694,0.000694,0.000694
96,53917.3,0.94653,0.52887,1.13717,0.71912,0.85743,0.79585,0.54889,1.20088,0.70439,1.30329,0.000595,0.000595,0.000595
97,54476,0.93563,0.52124,1.13154,0.71968,0.85561,0.79557,0.54931,1.20038,0.70505,1.30328,0.000496,0.000496,0.000496
98,55034.8,0.9287,0.5171,1.12782,0.71857,0.8566,0.79502,0.54933,1.20028,0.70558,1.30359,0.000397,0.000397,0.000397
99,55593.7,0.9191,0.51355,1.12333,0.71944,0.85663,0.79504,0.54952,1.20004,0.70648,1.30378,0.000298,0.000298,0.000298
100,56152.5,0.91527,0.50889,1.12023,0.71958,0.85791,0.79447,0.54921,1.1999,0.70749,1.3041,0.000199,0.000199,0.000199
